"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Comoros","COM","Surface area (sq. km)","AG.SRF.TOTL.K2","","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","",
"Cabo Verde","CPV","Surface area (sq. km)","AG.SRF.TOTL.K2","","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","",
"Costa Rica","CRI","Surface area (sq. km)","AG.SRF.TOTL.K2","","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","",
"Caribbean small states","CSS","Surface area (sq. km)","AG.SRF.TOTL.K2","","435080","435080","435080","435080","435080","435080","435080","435080","435080","435080","435080","435080","435080","435080","435080","435080","435080","435080","435080","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","434990","",
"Cuba","CUB","Surface area (sq. km)","AG.SRF.TOTL.K2","","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109880","109880","109880","109880","109880","109880","109880","109880","109880","109880","109880","",
"Curacao","CUW","Surface area (sq. km)","AG.SRF.TOTL.K2","","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","",
"Cayman Islands","CYM","Surface area (sq. km)","AG.SRF.TOTL.K2","","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","",
"Cyprus","CYP","Surface area (sq. km)","AG.SRF.TOTL.K2","","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9251","9251","9251","9251","9250","9250","9250","",
"Czechia","CZE","Surface area (sq. km)","AG.SRF.TOTL.K2","","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870.04","78871.01","",
"Germany","DEU","Surface area (sq. km)","AG.SRF.TOTL.K2","","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356990","357000","357020","357030","357030","357030","357030","357030","357030","357040","357040","357050","357090","357100","357100","357110","357120","357130","357140","357170","357340","357380","357410","357580","357580","357580","357580","357590","",
"Djibouti","DJI","Surface area (sq. km)","AG.SRF.TOTL.K2","","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","",
"Dominica","DMA","Surface area (sq. km)","AG.SRF.TOTL.K2","","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","",
"Denmark","DNK","Surface area (sq. km)","AG.SRF.TOTL.K2","","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","",
"Dominican Republic","DOM","Surface area (sq. km)","AG.SRF.TOTL.K2","","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","",
"Algeria","DZA","Surface area (sq. km)","AG.SRF.TOTL.K2","","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381741","2381741","2381741","2381741","2381741","2381741","",
"East Asia & Pacific (excluding high income)","EAP","Surface area (sq. km)","AG.SRF.TOTL.K2","","16308670","16308670","16308670","16308670","16308670","16308670","16308670","16308670","16308670","16308670","16308670","16308670","16308670","16308670","16308670","16308670","16306550","16306550","16308590","16308670","16308670","16308670","16308670","16308670","16308670","16308670","16307330","16307340","16307340","16308010","16308040","16308070","16308090","16308090","16308090","16308090","16308090","16308090","16308090","16306220","16306230.2","16306280.2","16306289.7","16306294.5","16308191.8","16308192","16308192","16308031","16308031.5","16307934.7","16307937.9","16307931.9","16307537.3","16307813.3","16310412.4","16310783.5","16313927.8","16313885.1","16313716.67","16313746.419","",
"Early-demographic dividend","EAR","Surface area (sq. km)","AG.SRF.TOTL.K2","","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260360","34142760","34135837","34135837","34135837","34135837","34108647","34108647","34105350","34105350","34105350","34105360","34135630.254","34135640.166","34135639.98","34135650.922","34135660.263","34136200.562","34136203.873","34136208.41","34136211.783","34136212.504","34134105.143","34141588.136","34141587.676","34145176.265","34144806.696","34144842.782","34144841.314","",
"East Asia & Pacific","EAS","Surface area (sq. km)","AG.SRF.TOTL.K2","","24861760","24861760","24861760","24861760","24861760","24861760","24861760","24861760","24861760","24861760","24861760","24861760","24861760","24861760","24861760","24861760","24859640","24859640","24861680","24861760","24861760","24861760","24861760","24861760","24861760","24861760","24860420","24860430","24860430","24861100","24861130","24861160","24861180","24861180","24861190","24861200","24861200","24861200","24861200","24858811","24859187.2","24859303.2","24859344.7","24859382.5","24861309.8","24861355.6","24861407.2","24861371.2","24861449","24861487.4","24861497.8","24861618.8","24861343.6","24861640.6","24864264.8","24864683","24867851.6","24867827","24867690.57","24867732.319","",
"Europe & Central Asia (excluding high income)","ECA","Surface area (sq. km)","AG.SRF.TOTL.K2","","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236282","23236352","23236352","23236362","23236362","23236352","23236352","23236352","23233055","23233055","23233055","23233055","23233075","23233075","23233075","23233075","23233075","23233074","23233084","23233084","23233084","23233084","23231910","23236735","23236736","23236736","23236736","23236735","23233374","",
"Europe & Central Asia","ECS","Surface area (sq. km)","AG.SRF.TOTL.K2","","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381687.137","28381777.137","28381787.137","28381817.137","28381897.137","28450637.137","28450567.137","28450567.137","28447010.137","28447030.137","28447340.137","28447744.137","28447470.137","28447490.137","28447780.137","28447833.03","28447848.03","28447982.03","28448229.03","28448238.03","28448608.03","28801867.75","28800720.04","28805549.98","28805745.2","28805573.43","28805613.489","28806029.206","28813553.455","",
"Ecuador","ECU","Surface area (sq. km)","AG.SRF.TOTL.K2","","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","",
"Egypt, Arab Rep.","EGY","Surface area (sq. km)","AG.SRF.TOTL.K2","","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","",
"Euro area","EMU","Surface area (sq. km)","AG.SRF.TOTL.K2","","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758419","2758439","2758449","2758469","2758479","2758479","2758479","2758479","2758219","2758239","2758549","2758899","2758609","2758629","2758929","2758909","2758924","2759059","2759296","2759305","2759675","2760375.2","2760396.6","2760436.6","2760621.6","2760426.83","2760451.889","2760460.796","2760483.761","",
"Eritrea","ERI","Surface area (sq. km)","AG.SRF.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","121690.86","121690.003","121659.95","121626.677","121644.279","121656.3","121651.578","121675.619","121668.75","121635.908","121622.815","121675.405","121664.244","121658.018","121664.887","121668.106","121630.327","",
"Spain","ESP","Surface area (sq. km)","AG.SRF.TOTL.K2","","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505000","505020","505320","505370","505370","505370","505370","505370","505370","505370","505600","505600","505940","505940","505940","505924","505935","505935.23","505957.289","505952.796","505969.891","",
"Estonia","EST","Surface area (sq. km)","AG.SRF.TOTL.K2","","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45340","45340","45340","45340","45340","45340","45340","45340","",
"Ethiopia","ETH","Surface area (sq. km)","AG.SRF.TOTL.K2","","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1136243.254","1136243.166","1136242.98","1136243.922","1136243.263","1136243.562","1136242.873","1136242.41","1136242.783","1136243.504","1136243.143","1136244.136","1136242.676","1136243.265","1136242.496","1136243.012","1136239.544","",
"European Union","EUU","Surface area (sq. km)","AG.SRF.TOTL.K2","","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139289.11","4139299.11","4139319.11","4139399.11","4139399.11","4139329.11","4139329.11","4139069.11","4139089.11","4139399.11","4139803.11","4139519.11","4139539.11","4139829.11","4139809.11","4139824.11","4139959.11","4140196.11","4140205.11","4140575.11","4253795.72","4253817.12","4253858.89","4254043.89","4253849.12","4253884.179","4254304.896","4254345.475","",
"Fragile and conflict affected situations","FCS","Surface area (sq. km)","AG.SRF.TOTL.K2","","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703601","20703591","20703591","20703591","20703591","20703591","20703591","20703591","20703591","20703591","20703591","20703591","20739625.114","20739624.169","20739593.93","20739561.599","20739578.542","20736510.862","20736505.451","20736529.029","20755595.533","20755375.412","20755361.958","20755415.541","20755402.92","20755397.283","20755403.383","20755407.118","20755365.871","",
"Finland","FIN","Surface area (sq. km)","AG.SRF.TOTL.K2","","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338440","338420","338420","338420","338420","338420","338420","338420","338420","338446","338450","338450","338450","338460","338460","",
"Fiji","FJI","Surface area (sq. km)","AG.SRF.TOTL.K2","","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","",
"France","FRA","Surface area (sq. km)","AG.SRF.TOTL.K2","","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549087","549087","549087","549387","549087","549087","549087","549087","549087","549087","549087","549087","549087","549087","549087","549087","549087","549087","549087","549087","549086.87","",
"Faroe Islands","FRO","Surface area (sq. km)","AG.SRF.TOTL.K2","","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","12959.67","",
"Micronesia, Fed. Sts.","FSM","Surface area (sq. km)","AG.SRF.TOTL.K2","","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","",
"Gabon","GAB","Surface area (sq. km)","AG.SRF.TOTL.K2","","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","",
"United Kingdom","GBR","Surface area (sq. km)","AG.SRF.TOTL.K2","","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","",
"Georgia","GEO","Surface area (sq. km)","AG.SRF.TOTL.K2","","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","",
"Ghana","GHA","Surface area (sq. km)","AG.SRF.TOTL.K2","","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238530","238530","",
"Gibraltar","GIB","Surface area (sq. km)","AG.SRF.TOTL.K2","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","",
"Guinea","GIN","Surface area (sq. km)","AG.SRF.TOTL.K2","","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","",
"Gambia, The","GMB","Surface area (sq. km)","AG.SRF.TOTL.K2","","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","",
"Guinea-Bissau","GNB","Surface area (sq. km)","AG.SRF.TOTL.K2","","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","",
"Equatorial Guinea","GNQ","Surface area (sq. km)","AG.SRF.TOTL.K2","","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","",
"Greece","GRC","Surface area (sq. km)","AG.SRF.TOTL.K2","","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","",
"Grenada","GRD","Surface area (sq. km)","AG.SRF.TOTL.K2","","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","",
"Greenland","GRL","Surface area (sq. km)","AG.SRF.TOTL.K2","","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","",
"Guatemala","GTM","Surface area (sq. km)","AG.SRF.TOTL.K2","","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","",
"Guam","GUM","Surface area (sq. km)","AG.SRF.TOTL.K2","","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","",
"Guyana","GUY","Surface area (sq. km)","AG.SRF.TOTL.K2","","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","",
"High income","HIC","Surface area (sq. km)","AG.SRF.TOTL.K2","","36857405.037","36857405.037","36857405.037","36857405.037","36857405.037","36857405.037","36857405.037","36857405.037","36857405.037","36857405.037","36857405.037","36857405.037","36857405.037","36857405.037","36857405.037","36857405.037","36857405.037","36857405.037","36857405.037","36857315.037","36857315.037","36857315.037","36857315.037","36857315.037","36857315.037","36857315.037","36857315.037","36857315.037","36857315.037","36857315.037","36857315.037","36857335.037","36857355.037","36857365.037","36857395.037","36857485.037","36926235.037","36926165.037","36926165.037","36928326.037","36928712.037","36929088.037","36929534.037","36929283.037","36929343.037","36929678.637","36929793.13","37129423.13","37129635.43","37130009.63","37130080.83","37130580.83","37488195.95","37488024.24","37488061.28","37488907.6","37488761.13","37488819.289","37489271.006","37500170.255","",
"Hong Kong SAR, China","HKG","Surface area (sq. km)","AG.SRF.TOTL.K2","","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1080","1090","1090","1090","1090","1100","1100","1100","1100","1100","1100","1100","1100","1100","1100","1100","1100","1100","1100","1105","1106","1110","1110","1110","1110","1110","",
"Honduras","HND","Surface area (sq. km)","AG.SRF.TOTL.K2","","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","",
"Heavily indebted poor countries (HIPC)","HPC","Surface area (sq. km)","AG.SRF.TOTL.K2","","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20429385.114","20429384.169","20429353.93","20429321.599","20429338.542","20429350.862","20429345.451","20429624.029","19801807.533","19801775.412","19801761.958","19801815.541","19801802.92","19801797.283","19801803.383","19801797.118","19801755.871","",
"Croatia","HRV","Surface area (sq. km)","AG.SRF.TOTL.K2","","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56610","56610","56540","56540","56540","56540","56540","56594","56590","56590","56590","56590","56590","56590","56590","56590","56590","88073","88073","88073","88073","88073","88073","88073","88070","",
"Haiti","HTI","Surface area (sq. km)","AG.SRF.TOTL.K2","","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","",
"Hungary","HUN","Surface area (sq. km)","AG.SRF.TOTL.K2","","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","",
"IBRD only","IBD","Surface area (sq. km)","AG.SRF.TOTL.K2","","73010588","73010588","73010588","73010588","73010588","73010588","73010588","73010588","73010588","73010588","73010588","73010588","73010588","73010588","73010588","73010588","73008468","73008468","73010508","73010498","73010498","73010498","73010498","73010498","73010498","73010498","73009158","73009168","73009168","73009838","73009868","73009898","73009988","73009988","73009998","73010068","73010058","72982798","72982798","72980928","72980938.2","72980988.2","72981051.7","72981072.5","72982969.8","72982960","72982960","72982799","72980259.5","72980174.7","72980177.9","72980169.9","73011081.3","73011252.3","73013852.4","73014827.5","73017971.8","73017940.1","73017769.67","73013323.469","",
